"","results"
"68","Here are the extracted details:

1. **Kampong**:
	* Sengkurong (village in Brunei)
2. **Price**:
	* $318,000.00
3. **Type**:
	* Detached house
4. **Storey**:
	* Double storey
5. **Status**:
	* Under-construction
6. **Land_size**:
	* 0.128-0.131 acres (approximately)
7. **Floor_size**:
	* 2,745 sq ft
8. **Beds**:
	* 4 rooms (assuming bedrooms)
9. **Baths**:
	* 5 toilets (assuming bathrooms)
10. **Land_type**:
	* Kekal (in perpetuity)
11. **Additional Remark**:
	* The house is expected to be complete in April 2022"
"69","Here are the extracted details:

**kampong**: Subok (village in Brunei)

**price**: $185,000.00

**type**:
- apartment: No mention
- bungalow: No mention
- detached: No mention
- semi-detached: No mention
- terrace house: Yes

**storey**: Double storey

**status**: Under-construction

**land_size**: 
- 0.068 ac (approximate size)
- 0.11 ac (actual size)

**floor_size**: 1,884 sq ft

**beds**: 4 bedrooms

**baths**: 4 bathrooms

**land_type**: Kekal"
"70","Here are the extracted details:

1. **Kampong**: Sengkurong
2. **Price**: $318,000.00
3. **Type**:
	* Apartment: Not mentioned
	* Bungalow: Not mentioned
	* Detached: Yes
	* Semi-detached: Not mentioned
4. **Storey**: Double storey
5. **Status**: Under construction
6. **Land size**: 0.128-0.131 ac (approximately)
7. **Floor size**: 2,745 sq ft
8. **Beds**: 4 rooms
9. **Baths**: 5 toilets
10. **Land type**: Kekal
11. **Additional Remark**:
	* Estimated completion: April 2022
	* Total number of storeys: Not mentioned (but double storey)
12. **Caption**: Double storey detached house..."
"71","Here are the extracted details:

1. **Kampong (Village in Brunei)**: Kulapis
2. **Price**: $188,000 - $178,000 (Brunei dollars)
3. **Type**:
	* Apartment: Not mentioned
	* Bungalow: Semi-detached
	* Detached: Not mentioned
	* Semi-detached: Yes
4. **Storey**: Single storey
5. **Status**: Under-construction
6. **Land Size**: 0.104ac - 0.087ac ( approx. 4351 sq ft - 3673 sq ft)
7. **Floor Size**: 2,110 sq ft - 2,273 sq ft
8. **Beds**: Not mentioned
9. **Baths**: 2 toilets
10. **Land Type**: Kekal
11. **Additional Remark**:
	* The property is under construction and expected to be complete in Feb 2022.
	* It has 3 rooms.
12. **Caption Details**:
	* The price range mentioned ($188,000 - $178,000) has a lower figure first (lower price for the smaller land size)."
"72","Here are the extracted details:

1. **Kampong**:
	* Pengkalan Batu
2. **Price**:
	* $125,000 (for 0.465 ekar)
	* $65,000 (for 0.232 ekar)
3. **Type**:
	* No specific type mentioned (apartment, bungalow, detached, semi-detached not specified)
4. **Storey**:
	* Not mentioned
5. **Status**:
	* Not mentioned (new, proposed, or under-construction not specified)
6. **Land Size**:
	* 0.465 ekar
7. **Floor Size**:
	* Not mentioned
8. **Beds**:
	* Not mentioned
9. **Baths**:
	* Not mentioned
10. **Land Type**:
	* Leasehold (with 55 years remaining and 29 years balance)
11. **Additional Remark**:
	* The land is for sale in Kg Limau Manis, Pengkalan Batu.
	* There are 2 lots available.
	* The house type/requirements for the land is stated as ""perumahan am"" which means residential (no specifics on type)."
"73","Here are the extracted details:

**1. Kampong (Village in Brunei)**
- Mentiri

**2. Price Details**
- Price: $188,000.00
- Land Size: 0.060 ac ( equivalent to approximately 2468 sq ft)

**3. Type of Property**
- Apartment: Not mentioned
- Bungalow: Not mentioned
- Detached House: Not mentioned
- Semi-Detached House: Yes

**4. Storey**
- Single storey: No
- Double storey: Yes

**5. Status**
- New: No
- Proposed: Yes (under proposal)
- Under-construction: No

**6. Land Size**
- 0.060 acres

**7. Floor Size**
- 1350.43 sq ft

**8. Beds and Baths**
- Number of Bedrooms: Not mentioned, but it's a 3-room house
- Number of Bathrooms: 3 toilets (not specified if they are bathrooms)

**9. Land Type**
- Leasehold: No mention of leasehold
- In Perpetuity: Yes, Kekal is used which means in perpetuity

**10. Additional Remark and Caption Details**
- Last unit available
- Price listed in units"
"74","Here are the extracted details:

**Kampong:** Kulapis

**Price:**

* Original price: $135,000
* Current offer: $120,000

**Type:**

* Apartment: No (none of the keywords match)
* Bungalow: Yes
* Detached: No
* Semi-detached: No
* Terrace: Yes (single storey)

**Storey:** Single storey

**Status:** New (since it's being sold off and has a TCP approved status)

**Land Size:** 0.05 acres (b) 

**Floor Size:** Not specified (only floor size for the bungalow itself, which is 1,200 sq ft)

**Beds:**

* Number of rooms: 3

**Baths:** 2 toilets

**Land Type:** Kekal"
"75","Here are the extracted details:

1. **Kampong**:
	* Pangkalan Gadong (village in Brunei)
2. **Price**:
	* $240,000.00
3. **Type**:
	* Terrace house
4. **Storey**:
	* Double storey
5. **Status**:
	* Under-construction
6. **Land_size**:
	* 0.042ac (approximately 17,104 sq ft)
7. **Floor_size**:
	* Not specified in this format, but according to the details: 
	* Main house: 2453 sq ft
	* Extension (if any): not mentioned, or possibly main floor size is used as it was not separated.
8. **Beds**:
	* 4 rooms (assuming bedrooms)
9. **Baths**:
	* 4 toilets (assuming bathrooms)
10. **Land_type**:
	* Kekal
11. **Additional Remark**:
	* Middle unit"
"76","Here are the extracted details:

* **Kampong**: Batong (village in Brunei)
* **Price**: $115,000.00
* **Type**:
	+ Apartment: No
	+ Bungalow: Yes
	+ Detached: No
	+ Semi-detached: No
* **Storey**: Single storey
* **Status**: Proposed
* **Land_size**: Not mentioned (but implied to be small, given the unit number)
* **Floor_size**: Not explicitly mentioned (implied to be around 3 rooms and 2 toilets, but exact size not specified)
* **Beds**: 3 rooms (implying 3 bedrooms)
* **Baths**: 2 toilets (implying 2 bathrooms)
* **Land_type**: Leasehold
* **Additional Remark**: 
	+ The property is a terrace bungalow
	+ It has 2 car park lots
	+ The units are 12 in total"
"77","Here are the extracted details:

* **Kampong:** Bunut
* **Price:**
	+ Proposed price: $275k (nego to $255k)
	+ Last unit price: $255k
* **Type:**
	+ Apartment: Not mentioned
	+ Bungalow: Not mentioned
	+ Detached: Yes, a 4-unit double storey detached house
	+ Semi-detached: Not mentioned
* **Storey:** Double storey
* **Status:** Proposed
* **Land_size:** 0.1 acres (approximately 4350 sqft)
* **Floor_size:** Not explicitly stated, but implied to be around 2300 sqft for the last unit
* **Beds:** 4 rooms
* **Baths:** 4 toilets
* **Land_type:** Kekal (in perpetuity)"
"78","Here are the extracted details:

* **Kampong:** Selayun
* **Price:** $290,000.00
* **Type:**
	+ Apartment: Not mentioned
	+ Bungalow: Not mentioned (detached house is mentioned instead)
	+ Detached: Yes
	+ Semi-detached: Not mentioned
* **Storey:** Double storey
* **Status:** Ready to move in (i.e. existing and not new, proposed, or under-construction)
* **Land_size:** 0.108ac (approximately 4,400 sq ft)
* **Floor_size:** 2,800 sq ft
* **Beds:** 4 rooms (assuming bedrooms)
* **Baths:** 4 toilets (assuming bathrooms)
* **Land_type:** Kekal (i.e. in perpetuity)
* **Additional Remark:**
	+ Ready to move in
	+ 0.108ac of land"
"79","Here are the extracted details:

**Kampong:** Madang (a village in Brunei)

**Price:**

* Original price: $318,000
* Current offer price: $308,000

**Type:** 
* Detached house

**Storey:** Double storey

**Status:** Proposed

**Land_size:** Not mentioned (implied to be a certain size based on the floor size)

**Floor_size:** 2,509.05 sqft

**Beds:** 4 rooms (assuming bedrooms)

**Baths:** 3 toilets (assuming bathrooms)

**Land_type:** Kekal (in perpetuity)

**Additional Remark:**

* Remaining details not specified
* Mention of ""now offer"" suggesting a discount or promotion"
"80","Here are the extracted details:

**1. Kampong:**
* Sg Akar (village in Brunei)

**2. Price:**
* B$280,000.00

**3. Type:**
* Apartment: No
* Bungalow: No
* Detached: No
* Semi-detached: Yes

**4. Storey:**
* Double storey

**5. Status:**
* Ready to move in (not new, proposed, or under-construction)

**6. Land_size:**
* Not mentioned

**7. Floor_size:**
* Not mentioned

**8. Beds:**
* 4 rooms (assuming bedrooms)

**9. Baths:**
* 3 toilets (assuming bathrooms)

**10. Land_type:**
* Leasehold

**11. Additional Remark:**
* Ready to move in
* 2 car porch
* 1 store room
* Wet and dry kitchen"
"81","Here are the extracted details:

1. **Kampong**: Kiarong
2. **Price**: $395,000.00
3. **Type**:
	* Apartment: No
	* Bungalow: No
	* Detached: No
	* Semi-detached: Yes
4. **Storey**: Three storey (not single or double)
5. **Status**: For Sale (last unit)
6. **Land_size**: 0.109 acres
7. **Floor_size**: 3,896 sqft
8. **Beds**: 7 rooms
9. **Baths**: 6 toilets
10. **Land_type**: Kekal
11. **Additional Remark**:
	* Last unit available
	* Located in Kiarong kampong
	* Details are for a semi-detached property"
"82","Here are the extracted details:

* **Kampong:** Selayun (village in Brunei)
* **Price:**
	+ Rent: $450/month
	+ Includes water and electricity (excluding air conditioner)
* **Type:** Bungalow
* **Storey:** Single storey (not mentioned as double storey, but rather ""2 rooms"" which implies single storey)
* **Status:** For rent (already existing and not proposed or under-construction)
* **Land_size:** Not mentioned
* **Floor_size:** Not mentioned
* **Beds:** 2 bedrooms
* **Baths:** 1 bathroom
* **Land_type:** Leasehold
* **Additional Remark:**
	+ Furnished as it is
	+ 2 rooms
	+ 1 toilet"
"83","Here are the extracted details:

1. **Kampong (Village in Brunei)**: Not mentioned explicitly.
2. **Price**: $181,000.00 - $244,000.00
3. **Type**:
	* Apartment: Not mentioned
	* Bungalow: Not mentioned
	* Detached: Not mentioned
	* Semi-detached: Not mentioned
	* Terrace house: double storey
4. **Storey**: Double storey
5. **Status**: Proposed
6. **Land size**: 0.045ac - 0.093ac (Note: ac = acres)
7. **Floor size**: 2,000 sq ft
8. **Beds (Bedrooms)**: 4 rooms
9. **Baths (Bathrooms)**: 4 toilets
10. **Land type**: Kekal (In perpetuity)
11. **Additional Remark**:
	* Location: Tanah Jambu
	* Storey: Double storey
12. **Caption**: Already provided"
"84","Here are the extracted details:

* **Kampong:** Kiarong
* **Price:** $235,000.00
* **Type:**
	+ Apartment: None mentioned
	+ Bungalow: None mentioned
	+ Detached: Three-storey semi-detached house (not detached)
	+ Semi-Detached: Yes
* **Storey:** Three storeys
* **Status:** Ready for move-in, Kekal (in perpetuity)
* **Land Size:** Not specified
* **Floor Size:** 2188 sq ft
* **Beds:** 4 rooms (assuming bedrooms)
* **Baths:** 5 toilets (assuming bathrooms)
* **Land Type:** Kekal (in perpetuity)"
"85","Here are the extracted details:

**kampong (village in Brunei):**
- Bengkurong

**price:**
- RM 700/month (nett)

**type:**
- Semi-detached
- Bungalow (note: although it's a semi-detached, it's referred to as a bungalow in the caption)

**storey:**
- Not mentioned explicitly, but it can be inferred that it's likely a single storey since it's a semi-detached property

**status:**
- New

**land_size:**
- Not mentioned

**floor_size:**
- Not mentioned (but implied to be a residential unit)

**beds:**
- 3 rooms (note: assuming ""rooms"" refers to bedrooms, but not explicitly stated)

**baths:**
- 2 toilets (assuming ""toilets"" refers to bathrooms, but not explicitly stated)

**land_type:**
- Not mentioned

**Additional Remark:**
- Unfurnished
- For rent"
"86","Here are the extracted details:

**Kampong:**
None mentioned specifically, but the location is Tutong.

**Price:**
- B$155,000.00 - B$165,000.00 ( price range)

**Type:**
- Terrace house

**Storey:**
- Double storey

**Status:**
- Proposed

**Land_size:**
- 0.08ac to 0.1ac

**Floor_size:**
- 1780sqft - 1900sqft

**Beds:**
- 4 rooms (assuming 4 bedrooms)

**Baths:**
- 3 toilets (assuming 3 bathrooms)

**Land_type:**
- Kekal B

**Additional Remark:**

* The property is a double storey terrace house.
* There are 4 units available.
* The land size and floor size have a range."
"87","Here are the extracted details:

**1. Kampong:**
- The kampong mentioned is: Kg Limau Manis, Pengkalan Batu.

**2. Price:**
- The price for 0.465 ekar of land is: $125,000.
- The price for 0.232 ekar of land is: $65,000.

**3. Type:**
- No specific type (apartment, bungalow, detached, semi-detached) mentioned in the text.

**4. Storey:**
- Not specified whether it's a single storey or double storey.

**5. Status:**
- The status is: Proposed, with 55 years of lease remaining and 29 years remaining to be fulfilled.

**6. Land Size:**
- The land size for each lot:
	+ Lot 1: 0.465 ekar.
	+ Lot 2 (if referring to the second mention): Not explicitly mentioned separately from the first lot, but it seems to be referring to the same 0.465 ekar or 0.232 ekar of different lots.

**7. Floor Size:**
- Not specified in terms of floor size.

**8. Beds:**
- Number of bedrooms not mentioned.

**9. Baths:**
- Number of bathrooms not mentioned.

**10. Land Type:**
- The land type is: Leasehold, with 55 years remaining and 29 years to be fulfilled.

**11. Additional Remark:**
- No additional remark extracted from the text.

**12. Caption:**
- Same as above (extracted details)."
"88","Here are the extracted details:

* **Kampong:** Tutong
* **Price:** B$220,000 - B$255,000
* **Type:**
	+ Apartment: Not mentioned
	+ Bungalow: Not mentioned
	+ Detached: Yes (7 units double storey)
	+ Semi-detached: Not mentioned
* **Storey:** Double storey
* **Status:** Proposed
* **Land_size:** 0.08ac - 0.1ac (approximately 3,200 sqm to 4,000 sqm)
* **Floor_size:** 2,300sqft per unit
* **Beds:** Not mentioned (but each unit has 4 rooms, which likely implies 4 bedrooms)
* **Baths:** 3 toilets per unit
* **Land_type:** Kekal
* **Additional Remark:**
	+ 7 units
	+ Double storey
	+ Detached house"
"89","Here are the extracted details:

* **Kampong**: Tg Nangka
* **Price**: $238,000.00
* **Type**:
	+ Apartment: None mentioned
	+ Bungalow: Not specified (but implied to be semi-detached)
	+ Detached: Not specified
	+ Semi-Detached: Yes, 2 units are double storey semi-detached houses
* **Storey**: Double storey
* **Status**: Under-construction
* **Land size**: 0.055 acres (ac)
* **Floor size**: Not explicitly mentioned, but implied to be around 4 rooms (exact floor area not specified)
* **Beds**: 4 bedrooms
* **Baths**: 3 toilets (not bathrooms, as no distinction is made between the two in Brunei)
* **Land type**: Kekal (perpetual title or perpetual leasehold)"
"90","Here are the extracted details:

* **Kampong**: Subok
* **Price**: $185,000.00
* **Type**:
	+ Apartment: Not mentioned
	+ Bungalow: Not mentioned
	+ Detached: Not mentioned
	+ Semi-detached: Not mentioned
	+ Type of house: Terrace house (detached)
* **Storey**: Double storey
* **Status**: Under-construction
* **Land_size**:
	+ 0.068 acres
	+ 0.11 acres
* **Floor_size**: 1,884 sq ft
* **Beds**: 4 bedrooms
* **Baths**: 4 bathrooms
* **Land_type**: Kekal B
* **Additional Remark**: 
	+ The property is a double storey terrace house
	+ It is located at Subok"
"91","Here are the extracted details:

**Kampong (Village in Brunei)**
- Lumapas

**Price Details**
- Price: $130,000.00
- Leasehold status with remaining lease of 31 years.

**Type of Property**
- Detached bungalow house
- Apartment, Bungalow, Detached, Semi-detached (not explicitly mentioned as different properties in this case, but listed for completeness)

**Storey Details**
- Single storey

**Status**
- Proposed

**Land Size**
- 0.1 acres (approximately 4046 sq ft)

**Floor Size**
- 1000 sq ft

**Number of Bedrooms and Bathrooms**
- 3 rooms
- 2 toilets

**Land Type**
- Leasehold

**Additional Remark**
- Left (implying the property is available for sale)
- Single storey"
"92","Here are the extracted details:

**Kampong:** Not mentioned in this caption.

**Price:**

* Madang Shop (1st floor): $168,000
* Madang Shop (2nd floor): $188,000
* Total price for commercial unit B: $188,000 (1st floor) + $168,000 (2nd floor)

**Type:** Not explicitly mentioned in the caption. However, ""Madang Shop"" implies a shop or store.

**Storey:** 1st and 2nd floors are mentioned.

**Status:** Proposed or for sale.

**Land_size:** Not mentioned.

**Floor_size:** Not explicitly mentioned in the caption.

**Beds (Bedrooms):** Not mentioned.

**Baths (Bathrooms):** Not mentioned.

**Land_type:**

* Leasehold with 90 years remaining.

**Additional Remark:**

* Commercial unit B.
* 1st and 2nd floors available for sale.
* Madang Shop is the reference to the property."
"93","Here are the extracted details:

* **Kampong**: Katok
* **Price**: 700/month (rent)
* **Type**:
	+ Apartment
	+ Fully Furnished
* **Storey**: Not mentioned (but it's a ""one room apartment"")
* **Status**: For rent, not new or proposed
* **Land_size**: Not mentioned
* **Floor_size**: Not specified (only one room mentioned)
* **Beds**: 1
* **Baths**: 1
* **Land_type**: Not mentioned
* **Additional Remark**:
	+ Fully furnished
	+ For rent"
"94","Here are the extracted details:

1. **Kampong**: Temburong
2. **Price**: 
	* BND $145,000 (minimum price)
	* BND $160,000 (maximum price)
3. **Type**:
	* Detached
	* Bungalow
4. **Storey**: Single storey
5. **Status**: Proposed
6. **Land_size**: 
	* 0.082 acres (minimum land size)
	* 0.126 acres (maximum land size)
7. **Floor_size**: Not specified
8. **Beds**: 3 rooms
9. **Baths**: 2 toilets
10. **Land_type**: Kekal
11. **Additional Remark**:
	* No additional information provided"
"95","Here are the extracted details:

* **Kampong**: Mulaut
* **Price**: $225,000.00
* **Type**: Detached Stilt House (not apartment, bungalow, or semi-detached specifically)
* **Storey**: Not specified (implied to be a single storey as it's a ""stilt house"")
* **Status**: Proposed
* **Land_size**: 0.161 acres (b) = approximately 652 sqm
* **Floor_size**: 1,072.41 sqft = approximately 99.4 sqm
* **Beds**: 3 rooms (implied to be bedrooms)
* **Baths**: 3 toilets (implied to be bathrooms)
* **Land_type**: Kekal
* **Additional Remark**: None specific, but the unit is stated as ""last unit"" implying it's a rare or last remaining opportunity."
"96","Here are the extracted details:

1. **Kampong**: Jerudong
2. **Price**:
	* Brunei Dollar (BND) 358,000
	* Brunei Dollar (BND) 365,000
3. **Type**:
	* Double storey
	* Detached house
4. **Storey**: Double storey
5. **Status**: Not mentioned specifically, but ""waiting for op"" suggests it might be under-construction or proposed.
6. **Land size**: 2803 sqft
7. **Floor size**: Not mentioned (implied to be a 2-storey house)
8. **Beds**: 4 rooms (assuming bedrooms)
9. **Baths**: 3 toilets (assuming bathrooms)
10. **Land type**: Kekal
11. **Additional Remark**:
	* Only 2 units left
	* Units are waiting for occupation (op)
12. **Caption**: ""double storey detached house at jerudong 2 units left waiting for op 2803sqft 4 rooms 3 toilets kekal 358k 365k"""
"97","Here are the extracted details:

**Location/Kampong:** Not mentioned in the text, but implied to be ""near Ripas"" (likely a location in Brunei)

**Price Details:** 
* Price: $1,400
* Negotiable

**Type of Property:**
* Apartment 

**Storey:** No mention of storey detail, so cannot confirm if single or double storey.

**Status:**
No specific details given about status (new, proposed, under-construction), but likely ""for rent"" implying existing property.

**Land and Floor Details:**

* Land size: Not mentioned
* Floor size: Not explicitly stated as floor size. Since it's an apartment for rent, likely refers to the overall floor area of the unit.
 
**Beds/Baths:** Not provided in the text

**Land Type:** Not mentioned 

**Additional Remark:** The property is fully furnished"
"98","Here are the extracted details:

1. **Kampong**: Tg Bunut
2. **Price**: B$328,000.00
3. **Type**:
	* Semi-detached house
4. **Storey**: Double storey
5. **Status**: Ready to build (but not clear if new or proposed)
6. **Land Size**: 3,000 sqft
7. **Floor Size**: Not specified (likely same as land size)
8. **Beds**: Not specified (but likely 2-3 bedrooms for a semi-detached house)
9. **Baths**: Not specified
10. **Land Type**: Kekal (In perpetuity)
11. **Additional Remark**: Ready to build"
"99","Here are the extracted details:

1. **Kampong**: Kiulap (village in Brunei)
2. **Price**: BND 1600 (including maintenance fee)
3. **Type**:
	* Apartment
	* Fully furnished
4. **Storey**: Not specified (likely double storey as it has a lift, but not explicitly mentioned)
5. **Status**: For rent (not new, proposed, or under-construction)
6. **Land_size**: Not specified
7. **Floor_size**: Not specified
8. **Beds**: 4 rooms (assuming bedrooms)
9. **Baths**: 4 toilets (assuming bathrooms)
10. **Land_type**: Leasehold (implied by the maintenance fee, but not explicitly stated as leasehold)
11. **Additional Remark**:
	* Fully furnished
	* With lift"
"100","Here are the extracted details:

**kampong:** 
- Selayun (village in Brunei)

**price:** 
- $267,000.00

**type:**
- Detached house
- Apartment is not mentioned.
- Bungalow is not mentioned.
- Semi-detached is not mentioned.

**storey:**
- Not explicitly stated, but based on the description it's likely a single storey or possibly two storeys given the 2300sqft floor size and number of rooms (3) which suggests multiple levels might be present. However, this is not confirmed in the text.

**status:** 
- New

**land_size:**
- 0.167 acres
- Equivalent to approximately 6735 square feet

**floor_size:**
- 2300 sqft

**beds:**
- 3 rooms ( likely bedrooms)

**baths:**
- 3 toilets ( likely bathrooms)

**land_type:** 
- Kekal (in perpetuity)"
"101","Here are the extracted details:

**Kampong (Village in Brunei)**: Tg Nangka

**Price Details**: $385,000.00

**Type**:
- Apartment: Not mentioned
- Bungalow: Not mentioned
- Detached: Yes
- Semi-detached: Not mentioned

**Storey**: Double storey

**Status**: Under-construction

**Land Size**: 0.141 acres (approximately)

**Floor Size**: 3,100 sqft

**Beds**: 5 rooms

**Baths**: 4 toilets

**Land Type**: Kekal

**Additional Remark**:
- 1 unit
- Double storey
- Detached house"
"102","Here are the extracted details:

1. **Kampong**: Mulaut
2. **Price**: B$288,000.00
3. **Type**:
	* Apartment: No
	* Bungalow: No
	* Detached: Yes
	* Semi-detached: No
4. **Storey**: Double storey
5. **Status**: Complete (100%)
6. **Land_size**: Not specified
7. **Floor_size**: Not specified
8. **Beds**: Not specified
9. **Baths**: Not specified
10. **Land_type**: Leasehold
11. **Additional Remark**:
	* Last unit available
	* Located at Mulaut"
"103","Here are the extracted details:

* **Kampong:** Jang Sak Terrace (Note: Kampong is not explicitly mentioned, but this appears to be a reference to the area)
* **Price:** RM600 per month
* **Type:** 
	+ Apartment (mentioned as ""4 rooms"")
	+ Bungalow (not found)
	+ Detached (not found)
	+ Semi-detached (not found)
* **Storey:** Not mentioned (implied to be a single storey, given the 4-room description)
* **Status:** For Rent (unfurnished)
* **Land Size:** Not mentioned
* **Floor Size:** Not mentioned
* **Beds:** 4 bedrooms
* **Baths:** Not mentioned
* **Land Type:** Not mentioned (but implied to be Leasehold, given the ""For Rent"" status)
* **Additional Remark:**
	+ Unfurnished
	+ 1 car park"
"104","Here are the extracted details:

1. **Kampong**: Jerudong
2. **Price**: $139,000.00
3. **Type**:
	* Apartment: Not mentioned
	* Bungalow: Mentioned
	* Detached: Not mentioned
	* Semi-detached: Not mentioned
4. **Storey**: Single storey (not explicitly stated, but ""terrace bungalow"" suggests single storey)
5. **Status**: Under-construction
6. **Land_size**: 0.036 acres
7. **Floor_size**: 1000 sq ft
8. **Beds**: 3 rooms
9. **Baths**: 2 toilets
10. **Land_type**: Kekal
11. **Additional Remark**:
	* Last unit estimate complete Oct 2022
	* Middle location"
"105","Here are the extracted details:

* **Kampong**: Subok (village in Brunei)
* **Price**: B$410,000.00
* **Type**:
	+ Apartment: Not mentioned
	+ Bungalow: Not mentioned
	+ Detached: Yes
	+ Semi-detached: Not mentioned
* **Storey**: Double storey
* **Status**: Proposed (not explicitly stated but implied by the price and details)
* **Land_size**: 0.163 acres
* **Floor_size**: Not explicitly mentioned, but assumed to be related to floor area
* **Beds**: 5 rooms (assuming bedrooms, not explicitly stated as beds)
* **Baths**: Not explicitly mentioned
* **Land_type**: Leasehold (not explicitly stated but implied by the context)
* **Additional Remark**:
	+ Location: Subok
	+ Type of house: Detached house
	+ No. of rooms: 5 rooms"
"106","Here are the extracted details:

1. **Kampong**:
	* Tg Nangka (mentioned as ""tg"")
2. **Price**:
	* BDT 125,000.00
3. **Type**:
	* Semi-detached bungalow house
4. **Storey**:
	* Single storey
5. **Status**:
	* Leasehold (mentioned as ""lease earthwork"")
6. **Land_size**:
	* Not mentioned explicitly
7. **Floor_size**:
	* Not mentioned explicitly
8. **Beds**:
	* 3 rooms (implied to be bedrooms)
9. **Baths**:
	* 2 toilets (implied to be bathrooms)
10. **Land_type**:
	* Leasehold
11. **Additional Remark**:
	* 2 units left, earthwork completed"
"107","Here are the extracted details:

**Kampong/Village**: Lumapas (Brunei)

**Price Details**:
- Price: $212,000.00
- Land size: 0.125 acres (approx.)

**Type**:
- Detached Bungalow

**Storey**:
- Single Storey

**Status**:
- Nearly completed (new)
- Kekal (land type)

**Details**:
- No specific details were mentioned for ""storey"" in the original context, but it was confirmed to be single storey."
"108","Here are the extracted details:

1. **Kampong**:
	* Pengkalan Batu
2. **Price**:
	* $125,000 for 0.465 ekar (or $65,000 for 0.232 ekar)
3. **Type**:
	* None mentioned (this caption appears to be a land sale notice rather than a property listing)
4. **Storey**:
	* Not mentioned
5. **Status**:
	* Not mentioned (but the caption mentions ""syarat perumahan am"" which means ""conditions for residential development"")
6. **Land Size**:
	* 0.465 ekar
	* 0.232 ekar
7. **Floor Size**:
	* Not mentioned
8. **Beds**:
	* Not mentioned (this is a land sale notice, not a property listing)
9. **Baths**:
	* Not mentioned
10. **Land Type**:
	* Leasehold for 55 years with 29 years remaining
11. **Additional Remark**:
	* ""Tanah untuk di jual"" (land for sale)
	* ""Kg Limau Manis"" (village name)
12. **Caption**:
	* As mentioned earlier, this caption appears to be a land sale notice rather than a property listing"
"109","Here are the extracted details:

**Kampong:**
- Lempaki Mulaut (village in Brunei)

**Price:**
- $273,000.00
- $283,000.00

**Type:**
- Apartment: Not mentioned
- Bungalow: Not mentioned
- Detached: Not mentioned
- Semi-detached: Yes

**Storey:**
- Double storey

**Status:**
- Ready (implying it's already built and move-in ready)

**Land Size:**
- 0.070 acres
- 0.108 acres

**Floor Size:**
- 1,950 sq ft

**Beds:**
- 4 bedrooms

**Baths:**
- 3 bathrooms

**Land Type:**
- Kekal (a type of land ownership in Brunei)

**Additional Remark:**
- Ready to move-in
- Only 2 units left"
"110","Here are the extracted details:

1. **Kampong**: Kapok Corner (no specific location mentioned)
2. **Price**: RM 900 per month
3. **Type**:
	* Apartment (mentioned as ""4 rooms"")
	* Bungalow, Detached, Semi-detached (not explicitly stated, but implied by the phrase ""partial furnished apartment"" which could refer to a bungalow or semi-detached unit)
4. **Storey**: Not specified (single storey or double storey not mentioned)
5. **Status**: For rent
6. **Land_size**: Not specified
7. **Floor_size**: 4 rooms (no specific size mentioned)
8. **Beds**: 4 (assuming ""4 rooms"" refers to bedrooms)
9. **Baths**: Not specified (number of bathrooms not mentioned)
10. **Land_type**: Not specified (Leasehold, In perpetuity, or Kekal not mentioned)
11. **Additional Remark**:
	* Partially furnished
12. **Caption**: ""Kapok Corner for rent partial furnished 4 rooms RM 900/month"""
"111","Unfortunately, the provided text doesn't contain the actual property information. However, I can still extract some general details from the caption and provide a blank template for you to fill in:

**Assuming no actual data is available**

- kampong: Not mentioned
- price: 750 mnth (month)
- type: 
    - apartment: Not mentioned
    - bungalow: Not mentioned
    - detached: Not mentioned
    - semi-detached: Not mentioned
- storey: Single / Double storey: Not mentioned
- status: For Rent
- land_size: Not mentioned
- floor_size: Not mentioned
- beds: 3 rooms (assuming bedrooms)
- baths: Not mentioned
- land_type: Not mentioned
- Additional Remark:
    - ""Madang house""
    - Included in the rent
- Caption: Given"
"112","Here are the extracted details:

* **Kampong**: Salambigar
* **Price**:
	+ Without aircond: $1,200/month
	+ With aircond: $1,600/month
* **Type**: Detached house
* **Storey**: 2 storeys (1st floor and ground floor)
* **Status**: For rent (unfurnished)
* **Land_size**: Not specified
* **Floor_size**: Not specified
* **Beds**: 4 rooms ( bedrooms )
* **Baths**: 3 ensuite bathrooms with toilet, and 1 maid room bathroom with toilet on the ground floor
* **Land_type**: Leasehold
* **Additional Remark**:
	+ No common toilet
	+ Suitable for rent unfurnished"
"113","Here are the extracted details:

1. **Kampong**:
	* Identified kampong (village in Brunei): Not mentioned explicitly.
	However, based on the location ""Kilanas"" which is a village in Brunei, we can infer that it might be related to Kampong Kilanas.
2. **Price**: $208,000.00
3. **Type**:
	* Apartment: No
	* Bungalow: No
	* Detached: No
	* Semi-detached: No
	* Double Storey Terrace House: Yes
4. **Storey**:
	* Single storey: No
	* Double storey: Yes
5. **Status**:
	* New: No
	* Proposed: No
	* Under-construction: Yes
6. **Land size**: Not mentioned
7. **Floor size**:
	* Approx 2400 sq ft
8. **Beds (Bedrooms)**:
	* 4 rooms
9. **Baths (Bathrooms)**:
	* 1 store + 4 toilets
10. **Land type**:
	* Kekal: Yes
11. **Additional Remark**:
	* Remaining details mentioned in the caption are ""approx 2400 sq ft"", ""4 rooms"", ""1 store"", and ""4 toilets""."
